Key,English
Weapon.Base Shotgun,Base Shotgun
Weapon.Ripper Shotgun,Ripper Shotgun
Weapon.Mauler,Mauler
Weapon.The Eye,The Eye
Weapon.Laser Shrapnel,Laser Shrapnel
Weapon.Base Machine Gun,Base Machine Gun
Weapon.Impulse Rifle,Impulse Rifle
Weapon.Trooper Gun,Trooper Gun
Weapon.Lasrifle,Lasrifle
Weapon.Little Friend,Little Friend
Weapon.Base Bazooka,Base Bazooka
Weapon.Mini-nuke,Mini-nuke
Weapon.Legacy Weapon,Legacy Weapon
Weapon.Stinger,Stinger
Weapon.Desperate Measure,Desperate Measure
Weapon.Base Pistol,Base Pistol
Weapon.The Noisy Grasshopper,The Noisy Grasshoper
Weapon.Semi-auto 9,Semi-auto 9
Weapon.Plasmeagle,Plasmeagle
Weapon.Ceres' Pacifier,Ceres' Pacifier
